Embres-et-Castelmaure: 312.186501; 4766.269626!
Villadin: 408.594441; 5363.338848!
Vieux Coise: 497.649963; 5065.299963!
Vinon: 313.45401; 5248.682397!
Maignelay: 280.320954; 5500.409085!
Saint-Sauveur-Lalande: 25.899963; 4993.149963!
Vinot: 447.763233; 5061.478122!
Nivillers: 240.526677; 5489.722782!
Molpas: 347.954475; 5606.287767!
Courtieux: 181.992159; 5552.939946!
Saint-Leger-Vauban: 448.546338; 5259.959331!
Val-d'Ize: -144.895182; 5347.777536!
Taller: -118.981122; 4869.873696!
Autrey-les-Cerre: 704.660412; 5284.546608!
Vaite: 635.76138; 5282.743413!
Notre-Dame-de-Livaye: 4.429233; 5451.814173!
Guillac: -23.55531; 4972.938861!
Montceaux-les-Meaux: 331.896549; 5432.520264!
Billancourt: 321.24732; 5520.747504!
Tresserre: 314.103804; 4724.614656!
Trepied: 180.632853; 5605.614885!
Brazey-en-Morvan: 476.362383; 5236.333092!
Sousceyrac: 225.949269; 4980.933969!
Saint-Hippolyte-de-Montaigu: 499.04046; 4887.590739!
Las Capelles: 161.923692; 4975.425483!
Bourbevelle: 659.383845; 5319.533919!
Moustiers-Sainte-Marie: 690.547317; 4867.089039!
Quercitello: 1037.763309; 4709.174001!
Bilac: -256.674624; 5253.3858!
Le Grand-Fossard: 330.112446; 5368.219629!
Notre-Dame des Maures: 690.050037; 4791.500037!
Alsting: 776.330448; 5459.14872!
Vroncourt-la-Cote: 611.568153; 5344.454529!
Rigny-le-Ferron: 403.22637; 5351.139726!
Le Vanneau: -70.486332; 5138.795616!
Tartonne: 708.549963; 4891.400037!
La Vallee-au-Ble: 420.71775; 5534.323692!
Manhoue: 703.765197; 5419.649148!
Furiani: 1045.030368; 4735.054095!
Courgas: 375.549963; 4859.949963!
Gomelange: 718.261131; 5466.143163!
Toupre: 175.617873; 5515.53672!
La Faverie: -97.067391; 5351.500143!
Valros: 373.521771; 4819.571049!
Nervaux: 126.272379; 5178.586785!
Errey: 434.572326; 5356.643661!
Le Noyer-Renard: 262.234503; 5406.081618!
Gracay: 205.054185; 5232.951477!
Reffroy: 606.675273; 5398.073301!
Pillets: 297.07152; 5237.486604!
Sercy: 520.219704; 5172.996159!
La Ville Zinc: -254.295117; 5332.175376!
Corquoy: 254.895849; 5204.580876!
Yville-sur-Seine: 97.402722; 5483.33118!
Le Cambout: -289.739637; 5334.530463!
Gratte: 1031.621679; 4712.864751!
Auterive: 164.054781; 4811.96433!
Verges: 630.85851; 5178.510306!
